shallots,STIR-FRIES,sauerkraut,turmeric,"sugar (i.e., a pinch)",sage,Caribbean cuisines,cilantro,broccoli and broccoli rabe,mustard,pâtés,"STOCK, e.g., mushroom, vegetable",hazelnuts,spelt,"CHEESE, e.g., Asiago, blue, cheddar, Fontina, goat, Gouda, Gruyère, Jack, manchego, mozzarella, Parmesan, pecorino, Swiss","sugar, e.g., palm",enchiladas,cornstarch,"chiles, chili pepper flakes, and chili pepper sauce",pumpkin,skordalia,millet,TOMATOES and sun-dried,daikon,crepes,SLAWS,muffulettas,"cheese, e.g., blue, cheddar, feta, Parmesan",mint,"French cuisine, esp. French lentils","cheese, e.g., feta, goat, mozzarella, Parmesan, ricotta",wine,bell peppers,cauliflower,"greens, e.g., salad","loaves, e.g., mock meatloaf","stuffed onions, e.g., with cheese, herbs, and/or rice",dressings,nori,Southeast Asian cuisines,"SALADS, e.g., egg, green, potato (cold or hot)","oil, e.g., olive, peanut, sesame",artichokes,Cajun cuisine,salt,"chiles, e.g., ancho or green, or serrano, and chili powder",cloves,"tarts, onion","stews, e.g., mushroom",cabbage,snow peas,five-spice powder,"“bowls,” e.g., grains/veggies/dressings",*SAVORY,TAPENADES,MINT,"VINEGAR, e.g., balsamic, red wine",farro,pineapples,"RICE, e.g., basmati, brown, wild","vegetables, roasted",stuffed mushrooms,moles,MISO,paprika,okra,seitan,MARJORAM,“cheesecakes”,TAMARI,"grains, whole, e.g., millet",ASPARAGUS,"vegetables, e.g., root",SORREL,"MUSHROOMS, e.g., SHIITAKE",arugula,"onions, e.g., green, red, spring, yellow","vegetables, e.g., spring",Brussels sprouts,"cabbage, stuffed","salt, sea","SOUPS, e.g., leek, potato, sorrel, vegetable",lentils,"VINEGAR, e.g., balsamic, red wine, sherry, tarragon, white balsamic",Madeira,stuffed baked potatoes / twice-baked potatoes,chives,"cabbage, e.g., savoy",TOMATOES and tomato paste,COCONUT and COCONUT MILK,relishes,"NOODLES, esp. Asian, e.g., buckwheat, rice, soba, udon","legumes, e.g., lentils",maple syrup,bay leaf,"onions, e.g., cipollini",hiziki,"paellas, vegetarian",mizuna,"grains, whole",stuffings,French cuisine,"STOCKS, e.g., vegetable",fresh beans and fresh peas,"yogurt, e.g., low-fat or sheep’s milk","chiles, e.g., green, red",GARLIC,SAGE,"salads, e.g., bean, green","OIL, OLIVE",garam masala,"eggs, e.g., hard-boiled",nutmeg,"OIL, e.g., OLIVE, peanut, sesame, truffle (e.g., white), walnut","cheese, e.g., Asiago, feta, goat, Monterey Jack, mozzarella, Parmesan, Swiss","lemon, e.g., juice, zest","baked goods, e.g., breads, cakes",sauces,butter and brown butter,pesto,mangoes,“hummus”,"salsa, tomato","vegetables, esp. root or winter","PASTAS, e.g., linguini, spaghetti","Indian cuisine, e.g., South",endive,"ONIONS, e.g., green, pearl, red, spring, white, yellow","bread pudding, savory",rice,kebabs,polenta,chili powder,mascarpone,"beans, e.g., navy, pinto, white",stews,"baked goods, e.g., breads, focaccia",TOMATOES and sun-dried tomatoes,chervil,fennel,pumpkin and pumpkin seeds,"cheese, e.g., feta, goat, Gouda, Taleggio","tortillas, whole wheat","BEANS, BLACK",CHIVES and garlic chives,raisins,"pastas, e.g., ziti",chili powder and chili sauce,"chocolate, e.g., bitter, dark",pineapple,leeks,"pepper, e.g., black, white",chestnuts,grains,"SOUPS, e.g., onion, vegetable",nuts,"cheese, e.g., cheddar, Fontina, goat, Monterey Jack, mozzarella, Parmesan, queso fresco","cornmeal, e.g., to crust",vinegar,Greek cuisine,Caribbean cuisine,Korean cuisine,cayenne,pizza,gratins,Spanish cuisine,"squash, e.g., butternut, winter","lime, e.g., juice, zest",SALSAS,lavender,figs,"beans, e.g., black, cannellini, fava, green",croutons,almonds,stuffed cabbage,"*RICE, e.g., brown",poppy seeds,Moroccan cuisine,"CHEESE, e.g., feta, GOAT (esp. fresh), Gorgonzola, Parmesan",ramps,"squash, e.g., butternut, delicata","SOUPS, e.g., pea, spinach, vegetable","chili, vegetarian",mushrooms,epazote,Cuban cuisine,"chiles, e.g., ancho, chipotle; chili paste and chili pepper flakes","breads, e.g., focaccia","squash, e.g., spaghetti",amaranth,spinach,yogurt,chicory,SOY SAUCE,juniper berries,"onions, e.g., green, red, white","potatoes, e.g., new","RICE, e.g., Arborio, brown, wild","cassoulet, vegetarian",corn,"eggs, e.g., omelets","DALS, i.e., Indian stewed lentils",tamari,greens,skewers,"cheese, e.g., blue, goat","chiles, e.g., jalapeño, and chili pepper flakes","PEPPER, e.g., BLACK, white",Southwestern (U.S.) cuisine,"MUSHROOMS, e.g., morel, oyster, shiitake, wild","BEANS, e.g., black",confit,curry powder,pecans,breads,"MUSHROOMS, e.g., porcini",Mediterranean cuisines,olives,"pepper, e.g., black, green","pasta, e.g., gnocchi",walnuts,"greens, e.g., bitter (e.g., collard) or salad","cheese, e.g., Jack","SALADS, e.g., pasta, vegetable","mustard, e.g., Dijon, dry, prepared; mustard seeds","ONIONS, e.g., green, white","LETTUCE, e.g., butter","PEPPER, e.g., black, white","RICE, e.g., brown",horseradish,"beans, e.g., fava, green",lemongrass,"olives, e.g., black, green",celery root,tacos (season lentils with taco spices),"vinegar, e.g., balsamic, sherry, white wine",sorrel,"EGGS, e.g., fried, frittatas, omelets, quiches",pastas,orange,"eggs, e.g., deviled, frittatas, hard-boiled, soft-boiled",mayonnaise,"sesame, e.g., oil, seeds","CHEESE, e.g., blue, feta, goat, Gruyère, Parmesan, ricotta salata","BELL PEPPERS, e.g., red, roasted",CAPERS,butter,Asian cuisines,bulgur,spring rolls,TOMATOES and TOMATO SAUCE,"BEANS, e.g., black, pinto",noodles,"beans, e.g., white",CELERY,*MEXICAN CUISINE,couscous,paellas,"American cuisine, esp. Southern and Southwestern",allspice,"APPLES, APPLE JUICE, and APPLE CIDER",chickpeas,BUTTER,plantains,soy sauce,galangal,parsley,crème fraîche,European cuisines,quinoa,CUMIN,stuffed chiles,beer,"cheese, Swiss","POTATOES, e.g., new",curry powder and curries,"oil, olive","mustard, Dijon",Central American cuisine,chard,pad thai,"orange, e.g., juice, zest",*THAI CUISINE,cashews,"greens, bitter",Mexican cuisine,"VINEGAR, e.g., red wine, rice wine, sherry, wine",scallions,"PASTAS, e.g., pappardelle, ravioli",CARROTS,"fruit, dried, e.g., apricots, plums, raisins",tagines,pies,*GARLIC,mujadara,"SAUCES, e.g., pasta, puttanesca (vegetarian)","OIL, e.g., flax seed, hemp, mustard, nut, OLIVE, safflower, sesame, vegetable, walnut","noodles, e.g., egg, rice, udon",eggs,lemon,"“meatloaf,” i.e., loaf made with mushrooms and nuts","rice, e.g., jasmine","veggie burgers, e.g., with rice",broccoli,sherry,tarragon,tomatillos,"STOCK, VEGETABLE",avocados,"stock, vegetable","scrambles, tofu","mushrooms, other",pilafs,"artichokes, e.g., globe, Jerusalem",buckwheat,cream and crème fraîche,"oregano, e.g., Mexican",beets,"OIL, e.g., canola, coconut, OLIVE, peanut, sunflower, walnut",guacamole,custard,CARAWAY SEEDS,"sauces, e.g., peanut",cucumbers,Latin American cuisines,watercress,"lemon, e.g., juice",rosemary,curries,bamboo shoots,phyllo dough,RISOTTOS,"terrines, vegetable",apples and apple juice,"lime, e.g., juice","VINEGAR, e.g., balsamic, brown rice, Chinese black, rice, umeboshi",PIZZA,"CURRIES, esp. green",coconut milk,dashi,"fruit, tropical, e.g., papaya, pineapple","vinegar, e.g., rice",snap peas,thyme,"VINEGAR, e.g., apple cider, champagne, rice wine, sherry, wine",biryani,"spreads, e.g., pureed tofu","greens, e.g., collard, mustard, salad, winter","vinegar, e.g., champagne, sherry, white wine",buttermilk,"wine, e.g., Madeira",Indian cuisine,"CHEESE, e.g., feta, kasseri, Parmesan",Kaffir lime leaf,"sea vegetables, e.g., dulse, hiziki","ONIONS, e.g., green, red, Spanish, Vidalia, yellow",arame,tomatoes,"sugar, e.g., brown",Middle Eastern cuisines,"soups, e.g., “creamy,” miso",bok choy,"eggs, e.g., frittatas, omelets, quiches",Czech cuisine,LENTILS,"squash, e.g., butternut","vegetables, root",CILANTRO,celery,sunflower seeds,tahini,"LIME, e.g., juice",tabbouleh,risottos,"potatoes, e.g., new, red","desserts, e.g., creamy","seeds, e.g., pumpkin",compotes,savory,"CHEESE, e.g., blue, cheddar, chèvre, Comté, Emmentaler, feta, goat, Gouda, GRUYÈRE, nondairy, Parmesan, pecorino, Swiss",spreads,milk,marjoram,Thai cuisine,asparagus,cole slaw,honey,carrots,THYME,"milk, dairy or nondairy (e.g., rice, soy)",SHALLOTS,"PASTAS, e.g., fettuccine, fusilli, penne","MUSHROOMS, e.g., morel, porcini, portobello, wild",oranges,barley and pearl barley,potato cakes / potato pancakes,SAFFRON,citrus,pine nuts,SPINACH,"salads, e.g., bean, Thai",STEWS,escarole,"OILS, e.g., OLIVE, peanut, sesame, sunflower",dill,BASIL,"celery, CELERY ROOT, and celery seeds",tamarind,"oil, e.g., olive, sesame, sunflower",sumac,"truffles, e.g., black, white",peas,sandwiches,"CHARD, e.g., Swiss",mirin,"phyllo dough, whole-wheat","SOUPS, e.g., mushroom, vegetable","beans, e.g., cannellini",mayonnaise and Vegenaise,gravies,basil,"salt, e.g., kosher, sea","tofu, e.g., firm, smoked",barley,"SALADS, e.g., bean, chopped, grain, Greek, niçoise, pasta",salsas,hummus,fenugreek,"sprouts, e.g., sunflower",capers,endives,"grains, e.g., quinoa, rice, spelt",ginger,"OIL, e.g., OLIVE, truffle","mustard, e.g., Dijon, oil, seeds",satays,dips,soy sauce or tamari,"EGGS, e.g., frittatas, hard-boiled, omelets, quiches","stock, e.g., vegetable",cumin,vanilla,"greens, Asian","BREAD CRUMBS, e.g., panko, whole-wheat",breadcrumbs,PARSLEY,"beans, fava","bell peppers, e.g., red, roasted, stuffed",KOMBU,casseroles,"vinegar, rice","sauces, e.g., fruit, moles, salsas","squash, winter, e.g., butternut, delicata","salads, e.g., green, mock egg, vegetable","black bean paste, e.g., fermented","vinegar, e.g., red wine, sherry","salt, e.g., sea","PARSLEY, esp. flat-leaf, and parsley root",oregano,dates,"tofu, e.g., silken","BEANS, e.g., black, green, kidney, pinto, white",corn bread,Tex-Mex cuisine,wakame,shiso,miso,sea vegetables,"squash, e.g., butternut, kabocha","pulses, including chickpeas, lentils, dried beans, dried peas","seeds, e.g., hemp, poppy, sesame, sunflower",caramelized onions,PEANUTS and PEANUT SAUCE,"SALT, e.g., kosher, sea, smoked",SALADS,"chard, Swiss","RICE, e.g., black, brown",caraway seeds,"LEMON, e.g., juice, zest",avocado,won tons,"vinegar, e.g., balsamic, red wine, rice wine, sherry","stuffed mushrooms or vegetables, e.g., bell peppers, eggplants, tomatoes",rhubarb,"beverages, e.g., horchata",ASIAN CUISINES,CHIVES,"bell peppers, esp. roasted","OIL, e.g., canola, chili, OLIVE, peanut, vegetable",puddings,"EGGS, e.g., frittatas, hard-boiled, omelets, quiches, tortillas","cabbage, e.g., Chinese, napa","grains, whole, e.g., quinoa, spelt",stir-fries,pasta,sugar snap peas,star anise,"oils, e.g., coconut, olive, vegetable",soups,eggplant,quesadillas,peanuts and soybeans,"WINE, e.g., dry red or white, dry sherry, Madeira",crostini,rice and wild rice,celery seeds,LEEKS,frisée,coconut and coconut milk,"sesame, e.g., oil (esp. toasted), seeds",parsnips,"GARLIC, e.g., green, white",coconut,purees,"peas, split",Italian cuisine,cardamom,Provençal cuisine,salads,sour cream,turnips,cream,There are three major categories of legumes:,"sesame, e.g., oil, seeds, esp. in Asian cuisines",“guacamole”,"palm, hearts of",POTATOES,"seeds, e.g., caraway, celery, sesame","gravies, e.g., mushroom","peanuts, esp. in Asian dishes","greens, e.g., Asian, collard",curry powder and spices,"garlic, green",onions,rutabagas,coconut and coconut cream,smoothies,lovage,ghee,"SALADS, e.g., lentil, vegetable",garlic,cinnamon,African cuisine,tofu,"ORANGE, e.g., juice, zest",burdock root,"squash, summer","onions, e.g., red",veggie burgers,lime,"APPLES, e.g., cider, fruit, juice","sauces, e.g., mushroom",umeboshi plum sauce,"tarts, e.g., mushroom",POLENTA,"curry powder, curry spices, and CURRIES","milk, e.g., coconut",Japanese cuisine,BARLEY,"SESAME, e.g., oil, sauce, seeds","flour, e.g., brown rice","pasta, e.g., macaroni, spaghetti","salt, e.g., kosher, sea, smoked","nuts, e.g., walnuts","basil, e.g., Thai",coriander,anise seeds,fennel and fennel seeds,tortillas and tortilla chips,kale,"pepper, black","MUSTARD (e.g., Dijon) and mustard seeds (e.g., black)","ONIONS, e.g., green, red, white, yellow",zucchini,"NUTS, e.g., almonds, hazelnuts, pecans, pine nuts, pistachios, walnuts","French cuisine, e.g., soups, tarts",GINGER,caponata,"OIL, e.g., OLIVE","chiles, e.g., chipotle","vegetables, sweet, e.g., beets, carrots, corn",Chinese cuisine,salad dressings,"lemon, preserved",ROSEMARY,"WINE, e.g., dry red or white","beans, green",black-eyed peas,sweet potatoes,paprika and smoked paprika,herbs,"soups, e.g., bean, lentil",grapefruit,"nuts, e.g., almonds, pecans, pine nuts, pistachios, walnuts","onions, e.g., green, red",saffron,"wine, e.g., dry white",TARRAGON,"onions, e.g., red, yellow",lemon thyme,plum sauce,chiles,"bell peppers, e.g., green and/or roasted",potatoes,"beans, e.g., black, green, pinto",hoisin,South American cuisines,"bell peppers, e.g., red",name
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,c,,,,,,,,,,c,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,1,,,1,,,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,,,,,,,,1,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,1,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,1.0,,,,,1.0,,,1,,,,,,,,1,,1,,,,"LENTILS, GREEN"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,c,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1,,,,,,,,,,"LENTILS, YELLOW"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,d,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"LIMES (e.g., JUICE, ZEST)"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LIQUID SMOKE
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MANGOES
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,"MILK, ALMOND"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,d,,,,1,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MILK, COCONUT"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MILK, e.g., WHOLE or NONFAT—IN GENERAL"
,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,c,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MILK, GOAT"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MILK, HEMP"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,d,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"MILK, SOY"
